id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público,ingresos_totales_USD_cat
1145,1,2,1,0,59,5,4,No corresponde,No corresponde,1,1,1,0,3,8000,3,8000,2,17000,8500,1,1,1,5,15,6,4,0,0.0,126.28255722178372,126.28255722178372,268.3504340962904,134.1752170481452,1,0,1,0,0,1,3
1146,1,1,3,0,35,2,4,No corresponde,No corresponde,2,0,3,32000,1,0,3,32000,2,42000,21000,1,1,1,5,15,5,1,0,505.1302288871349,0.0,505.1302288871349,662.9834254143647,331.4917127071824,0,1,1,0,1,0,2
1146,1,2,3,0,66,6,1,No corresponde,No corresponde,1,1,1,0,3,10000,3,10000,2,42000,21000,1,1,1,5,17,5,1,1,0.0,157.85319652722967,157.85319652722967,662.9834254143647,331.4917127071824,1,0,0,1,1,0,3
1147,1,1,2,0,35,2,5,No corresponde,No corresponde,2,0,2,77000,1,0,2,77000,1,117000,29250,1,1,1,5,15,0,1,0,1215.4696132596684,0.0,1215.4696132596684,1846.8823993685871,461.7205998421468,0,1,1,0,1,0,2
1147,1,2,2,0,34,0,5,No corresponde,No corresponde,1,1,1,0,3,40000,3,40000,1,117000,29250,1,1,1,5,15,0,1,2,0.0,631.4127861089187,631.4127861089187,1846.8823993685871,461.7205998421468,1,0,0,1,1,0,2
1147,1,3,2,0,9,1,2,1,2,1,1,0,0,0,0,0,0,1,117000,29250,0,3,5,4,3,0,1,0,0.0,0.0,0.0,1846.8823993685871,461.7205998421468,0,1,1,0,1,0,4
1147,1,4,2,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,117000,29250,2,1,1,6,0,0,1,0,0.0,0.0,0.0,1846.8823993685871,461.7205998421468,1,0,1,0,1,0,4
1148,1,1,14,0,35,2,3,No corresponde,No corresponde,2,0,3,66350,1,0,3,66350,2,66350,22117,1,1,1,5,15,0,3,2,1047.355958958169,0.0,1047.355958958169,1047.355958958169,349.1239147592739,1,0,0,1,1,0,2
1148,1,2,14,0,4,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,66350,22117,0,0,8,6,0,2,3,0,0.0,0.0,0.0,1047.355958958169,349.1239147592739,0,1,1,0,1,0,4
1148,1,3,14,0,6,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,66350,22117,0,0,5,4,0,0,3,0,0.0,0.0,0.0,1047.355958958169,349.1239147592739,1,0,1,0,1,0,4
1149,1,1,15,0,35,2,5,No corresponde,No corresponde,2,0,2,70000,1,0,2,70000,1,86000,28667,1,1,1,5,15,0,1,0,1104.9723756906078,0.0,1104.9723756906078,1357.5374901341752,452.5177584846093,0,1,1,0,1,0,2
1149,1,2,15,0,26,0,5,No corresponde,No corresponde,2,4,3,16000,1,0,3,16000,1,86000,28667,1,1,1,1,14,6,4,1,252.56511444356747,0.0,252.56511444356747,1357.5374901341752,452.5177584846093,1,0,0,1,0,1,1
1149,1,3,15,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,86000,28667,2,1,1,6,0,0,1,0,0.0,0.0,0.0,1357.5374901341752,452.5177584846093,0,1,1,0,1,0,4
1150,1,1,4,0,35,2,5,No corresponde,No corresponde,2,0,3,67000,1,0,3,67000,2,77000,38500,1,1,1,5,15,6,3,0,1057.616416732439,0.0,1057.616416732439,1215.4696132596684,607.7348066298342,1,0,1,0,1,0,2
1150,1,2,4,0,38,0,5,No corresponde,No corresponde,2,0,3,10000,1,0,3,10000,2,77000,38500,1,1,1,3,12,0,4,0,157.85319652722967,0.0,157.85319652722967,1215.4696132596684,607.7348066298342,0,1,1,0,0,1,3
1151,1,1,10,0,35,2,6,No corresponde,No corresponde,1,1,1,0,3,20000,3,20000,2,20000,10000,1,1,1,5,15,0,1,1,0.0,315.70639305445934,315.70639305445934,315.70639305445934,157.85319652722967,1,0,0,1,1,0,1
1151,1,2,10,0,2,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,20000,10000,0,3,0,6,0,0,1,0,0.0,0.0,0.0,315.70639305445934,157.85319652722967,1,0,1,0,1,0,4
1152,1,1,8,1,35,2,3,No corresponde,No corresponde,2,4,2,10000,1,0,2,10000,1,19000,4750,1,1,1,5,15,4,4,2,157.85319652722967,0.0,157.85319652722967,299.92107340173635,74.98026835043409,1,0,0,1,0,1,3
1152,1,2,8,1,68,4,3,No corresponde,No corresponde,1,1,1,0,3,9000,3,9000,1,19000,4750,1,1,1,3,12,4,1,0,0.0,142.0678768745067,142.0678768745067,299.92107340173635,74.98026835043409,0,1,1,0,1,0,3
1152,1,3,8,1,9,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,1,19000,4750,0,3,5,4,3,0,1,0,0.0,0.0,0.0,299.92107340173635,74.98026835043409,0,1,1,0,1,0,4
1152,1,4,8,1,6,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,1,19000,4750,0,3,5,4,0,0,1,0,0.0,0.0,0.0,299.92107340173635,74.98026835043409,0,1,1,0,1,0,4
1153,1,1,6,0,35,2,5,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,90000,30000,1,1,1,5,17,4,2,1,0.0,0.0,0.0,1420.6787687450671,473.559589581689,1,0,0,1,1,0,4
1153,1,2,6,0,40,0,5,No corresponde,No corresponde,2,0,3,90000,1,0,3,90000,2,90000,30000,1,1,1,3,12,5,1,0,1420.6787687450671,0.0,1420.6787687450671,1420.6787687450671,473.559589581689,0,1,1,0,1,0,2
1153,1,3,6,0,9,1,2,2,1,1,1,0,0,0,0,0,0,2,90000,30000,0,2,5,4,2,0,2,0,0.0,0.0,0.0,1420.6787687450671,473.559589581689,1,0,1,0,1,0,4
1154,1,1,7,0,35,2,5,No corresponde,No corresponde,2,0,3,109000,1,0,3,109000,2,152000,38000,1,1,1,5,17,4,1,0,1720.5998421468034,0.0,1720.5998421468034,2399.368587213891,599.8421468034727,0,1,1,0,1,0,0
1154,1,2,7,0,38,0,5,No corresponde,No corresponde,2,0,3,43000,1,0,3,43000,2,152000,38000,1,1,1,5,17,4,1,2,678.7687450670876,0.0,678.7687450670876,2399.368587213891,599.8421468034727,1,0,0,1,1,0,2
1154,1,3,7,0,8,1,2,1,2,1,1,0,0,0,0,0,0,2,152000,38000,0,2,5,4,2,0,1,0,0.0,0.0,0.0,2399.368587213891,599.8421468034727,1,0,1,0,1,0,4
1154,1,4,7,0,4,1,2,1,2,1,1,0,0,0,0,0,0,2,152000,38000,0,3,7,6,0,0,1,0,0.0,0.0,0.0,2399.368587213891,599.8421468034727,0,1,1,0,1,0,4
1155,1,1,12,0,35,2,0,No corresponde,No corresponde,2,0,2,27300,1,0,2,27300,1,152300,50767,1,1,1,1,13,0,3,1,430.939226519337,0.0,430.939226519337,2404.104183109708,801.3733228097868,1,0,0,1,1,0,2
1155,1,2,12,0,34,0,0,No corresponde,No corresponde,2,0,2,125000,1,0,2,125000,1,152300,50767,1,1,1,5,19,0,3,0,1973.1649565903708,0.0,1973.1649565903708,2404.104183109708,801.3733228097868,0,1,1,0,1,0,0
1155,1,3,12,0,2,1,2,2,1,1,1,0,0,0,0,0,0,1,152300,50767,0,2,0,6,0,0,3,0,0.0,0.0,0.0,2404.104183109708,801.3733228097868,0,1,1,0,1,0,4
1156,1,1,5,0,35,2,6,No corresponde,No corresponde,2,0,3,70000,3,40000,3,110000,2,110000,55000,1,1,1,5,17,0,1,1,1104.9723756906078,631.4127861089187,1736.3851617995265,1736.3851617995265,868.1925808997632,1,0,0,1,1,0,0
1156,1,2,5,0,2,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,110000,55000,0,2,0,6,0,0,1,0,0.0,0.0,0.0,1736.3851617995265,868.1925808997632,1,0,1,0,1,0,4
1157,1,1,12,0,35,2,3,No corresponde,No corresponde,2,4,3,112000,1,0,3,112000,2,112000,112000,1,1,1,5,17,0,2,0,1767.9558011049724,0.0,1767.9558011049724,1767.9558011049724,1767.9558011049724,0,1,1,0,1,0,0
1158,1,1,14,0,35,2,3,No corresponde,No corresponde,2,0,3,30000,1,0,3,30000,2,65000,13000,1,1,1,5,17,5,1,0,473.559589581689,0.0,473.559589581689,1026.0457774269928,205.20915548539855,1,0,1,0,1,0,2
1158,1,2,14,0,68,6,6,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,65000,13000,1,1,1,5,17,5,4,3,0.0,0.0,0.0,1026.0457774269928,205.20915548539855,1,0,0,1,0,1,4
1158,1,3,14,0,33,4,3,No corresponde,No corresponde,2,0,3,35000,1,0,3,35000,2,65000,13000,1,1,1,5,19,5,1,0,552.4861878453039,0.0,552.4861878453039,1026.0457774269928,205.20915548539855,1,0,1,0,1,0,2
1158,1,4,14,0,13,4,2,Padre no vive en el hogar,5,1,1,1,0,1,0,1,0,2,65000,13000,0,0,5,4,5,5,4,0,0.0,0.0,0.0,1026.0457774269928,205.20915548539855,0,1,1,0,0,1,4
1158,1,5,14,0,44,4,6,No corresponde,No corresponde,0,1,1,0,1,0,1,0,2,65000,13000,1,1,1,5,17,5,4,1,0.0,0.0,0.0,1026.0457774269928,205.20915548539855,1,0,0,1,0,1,4
1159,1,1,14,0,35,2,0,No corresponde,No corresponde,2,2,3,80000,1,0,3,80000,2,160000,53333,1,1,1,5,17,0,2,1,1262.8255722178374,0.0,1262.8255722178374,2525.6511444356747,841.878453038674,1,0,0,1,1,0,2
1159,1,2,14,0,36,0,0,No corresponde,No corresponde,2,2,3,80000,1,0,3,80000,2,160000,53333,1,1,1,5,19,0,2,0,1262.8255722178374,0.0,1262.8255722178374,2525.6511444356747,841.878453038674,0,1,1,0,1,0,2
1159,1,3,14,0,1,1,2,2,1,1,1,0,0,0,0,0,0,2,160000,53333,2,1,1,6,0,0,2,0,0.0,0.0,0.0,2525.6511444356747,841.878453038674,1,0,1,0,1,0,4
1160,1,1,10,0,35,2,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,100000,50000,1,1,1,1,15,1,3,0,789.2659826361484,0.0,789.2659826361484,1578.5319652722967,789.2659826361484,0,1,1,0,1,0,2
1160,1,2,10,0,34,0,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,100000,50000,1,1,1,1,15,0,3,0,789.2659826361484,0.0,789.2659826361484,1578.5319652722967,789.2659826361484,1,0,1,0,1,0,2
1161,1,1,2,0,35,2,4,No corresponde,No corresponde,2,0,2,45000,1,0,2,45000,1,45000,45000,1,1,1,5,17,5,4,0,710.3393843725336,0.0,710.3393843725336,710.3393843725336,710.3393843725336,0,1,1,0,0,1,2
1162,1,1,4,0,35,2,0,No corresponde,No corresponde,2,0,2,50000,1,0,2,50000,1,50000,16667,1,1,1,5,17,0,3,0,789.2659826361484,0.0,789.2659826361484,789.2659826361484,263.0939226519337,0,1,1,0,1,0,2
1162,1,2,4,0,37,0,0,No corresponde,No corresponde,1,1,1,0,1,0,1,0,1,50000,16667,1,1,1,5,15,0,3,1,0.0,0.0,0.0,789.2659826361484,263.0939226519337,1,0,0,1,1,0,4
1162,1,3,4,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,50000,16667,2,1,1,6,0,0,3,0,0.0,0.0,0.0,789.2659826361484,263.0939226519337,1,0,1,0,1,0,4
1163,1,1,11,0,35,2,5,No corresponde,No corresponde,2,0,3,36000,1,0,3,36000,2,36000,12000,1,1,1,5,17,6,1,1,568.2715074980268,0.0,568.2715074980268,568.2715074980268,189.4238358326756,1,0,0,1,1,0,2
1163,1,2,11,0,34,0,5,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,36000,12000,1,1,1,1,12,0,4,0,0.0,0.0,0.0,568.2715074980268,189.4238358326756,0,1,1,0,0,1,4
1163,1,3,11,0,2,1,2,2,1,1,1,0,0,0,0,0,0,2,36000,12000,2,1,1,6,0,0,1,0,0.0,0.0,0.0,568.2715074980268,189.4238358326756,1,0,1,0,1,0,4
1164,1,1,14,0,35,2,3,No corresponde,No corresponde,2,0,2,40000,1,0,2,40000,1,40000,40000,1,1,1,1,12,0,3,0,631.4127861089187,0.0,631.4127861089187,631.4127861089187,631.4127861089187,0,1,1,0,1,0,2
1165,1,1,7,0,35,2,5,No corresponde,No corresponde,2,0,3,80000,1,0,3,80000,2,150000,37500,1,1,1,5,17,0,3,0,1262.8255722178374,0.0,1262.8255722178374,2367.797947908445,591.9494869771113,0,1,1,0,1,0,2
1165,1,2,7,0,36,0,5,No corresponde,No corresponde,2,0,3,70000,1,0,3,70000,2,150000,37500,1,1,1,5,15,0,3,2,1104.9723756906078,0.0,1104.9723756906078,2367.797947908445,591.9494869771113,1,0,0,1,1,0,2
1165,1,3,7,0,4,1,2,1,2,1,1,0,0,0,0,0,0,2,150000,37500,0,3,8,6,0,0,3,0,0.0,0.0,0.0,2367.797947908445,591.9494869771113,0,1,1,0,1,0,4
1165,1,4,7,0,9,1,2,1,2,1,1,0,0,0,0,0,0,2,150000,37500,0,3,5,4,3,0,3,0,0.0,0.0,0.0,2367.797947908445,591.9494869771113,1,0,1,0,1,0,4
1166,1,1,10,0,35,2,3,No corresponde,No corresponde,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,13,0,4,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,4
1167,1,1,15,0,35,2,4,No corresponde,No corresponde,2,2,2,25000,1,0,2,25000,1,25000,25000,1,1,1,5,17,0,2,0,394.6329913180742,0.0,394.6329913180742,394.6329913180742,394.6329913180742,1,0,1,0,1,0,1
1168,1,1,1,0,35,2,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,100000,33333,1,1,1,1,15,4,3,0,789.2659826361484,0.0,789.2659826361484,1578.5319652722967,526.1720599842147,0,1,1,0,1,0,2
1168,1,2,1,0,35,0,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,100000,33333,1,1,1,5,17,0,1,1,789.2659826361484,0.0,789.2659826361484,1578.5319652722967,526.1720599842147,1,0,0,1,1,0,2
1168,1,3,1,0,1,1,2,1,2,1,1,0,0,0,0,0,0,2,100000,33333,2,1,1,6,0,0,1,0,0.0,0.0,0.0,1578.5319652722967,526.1720599842147,1,0,1,0,1,0,4
1169,1,1,12,0,35,2,3,No corresponde,No corresponde,2,0,3,75000,1,0,3,75000,2,75000,75000,1,1,1,1,12,0,1,0,1183.8989739542226,0.0,1183.8989739542226,1183.8989739542226,1183.8989739542226,0,1,1,0,1,0,2
1170,1,1,5,0,35,2,5,No corresponde,No corresponde,2,0,3,35000,3,7000,3,42000,2,77000,25667,1,1,1,1,13,1,3,0,552.4861878453039,110.49723756906076,662.9834254143647,1215.4696132596684,405.1617995264404,0,1,1,0,1,0,2
1170,1,2,5,0,36,0,5,No corresponde,No corresponde,2,4,3,20000,3,15000,3,35000,2,77000,25667,1,1,1,1,14,2,2,1,315.70639305445934,236.7797947908445,552.4861878453039,1215.4696132596684,405.1617995264404,1,0,0,1,1,0,2
1170,1,3,5,0,9,1,2,1,2,1,1,0,0,0,0,0,0,2,77000,25667,0,0,5,4,2,0,2,0,0.0,0.0,0.0,1215.4696132596684,405.1617995264404,0,1,1,0,1,0,4
1171,1,1,4,0,35,2,3,No corresponde,No corresponde,2,0,3,17000,1,0,3,17000,2,17000,17000,1,1,1,1,15,0,4,0,268.3504340962904,0.0,268.3504340962904,268.3504340962904,268.3504340962904,0,1,1,0,0,1,1
1172,1,1,3,0,35,2,5,No corresponde,No corresponde,2,0,3,30000,1,0,3,30000,2,38000,19000,1,1,1,5,17,5,1,0,473.559589581689,0.0,473.559589581689,599.8421468034727,299.92107340173635,0,1,1,0,1,0,2
1172,1,2,3,0,29,0,5,No corresponde,No corresponde,2,0,3,8000,1,0,3,8000,2,38000,19000,1,1,1,5,17,5,4,0,126.28255722178372,0.0,126.28255722178372,599.8421468034727,299.92107340173635,1,0,1,0,0,1,3
1172,2,1,3,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,24000,3,24000,2,24000,24000,0,0,13,1,13,5,4,0,0.0,378.8476716653512,378.8476716653512,378.8476716653512,378.8476716653512,1,0,1,0,0,1,1
1172,3,1,3,0,27,2,4,No corresponde,No corresponde,2,0,2,50000,1,0,2,50000,1,50000,50000,1,1,1,5,17,5,1,0,789.2659826361484,0.0,789.2659826361484,789.2659826361484,789.2659826361484,1,0,1,0,1,0,2
1173,1,1,14,0,35,2,0,No corresponde,No corresponde,2,0,2,63000,1,0,2,63000,1,103000,25750,1,1,1,5,17,0,3,0,994.4751381215468,0.0,994.4751381215468,1625.8879242304656,406.4719810576164,0,1,1,0,1,0,2
1173,1,2,14,0,34,0,0,No corresponde,No corresponde,2,4,3,40000,1,0,3,40000,1,103000,25750,1,1,1,5,17,0,3,2,631.4127861089187,0.0,631.4127861089187,1625.8879242304656,406.4719810576164,1,0,0,1,1,0,2
1173,1,3,14,0,3,1,2,1,2,1,1,0,0,0,0,0,0,1,103000,25750,0,2,7,6,0,0,3,0,0.0,0.0,0.0,1625.8879242304656,406.4719810576164,0,1,1,0,1,0,4
1173,1,4,14,0,6,1,2,1,2,1,1,0,0,0,0,0,0,1,103000,25750,0,2,9,6,0,0,3,0,0.0,0.0,0.0,1625.8879242304656,406.4719810576164,0,1,1,0,1,0,4
1174,1,1,14,0,35,2,5,No corresponde,No corresponde,2,2,3,35000,3,35000,3,70000,2,150000,75000,1,1,1,5,17,0,2,0,552.4861878453039,552.4861878453039,1104.9723756906078,2367.797947908445,1183.8989739542226,0,1,1,0,1,0,2
1174,1,2,14,0,43,0,5,No corresponde,No corresponde,2,2,3,80000,1,0,3,80000,2,150000,75000,1,1,1,5,15,2,2,1,1262.8255722178374,0.0,1262.8255722178374,2367.797947908445,1183.8989739542226,1,0,0,1,1,0,2
1175,1,1,15,0,35,2,3,No corresponde,No corresponde,2,0,3,30000,1,0,3,30000,2,30000,30000,1,1,1,1,16,0,1,0,473.559589581689,0.0,473.559589581689,473.559589581689,473.559589581689,0,1,1,0,1,0,2
1176,1,1,6,0,35,2,0,No corresponde,No corresponde,2,0,2,58000,1,0,2,58000,1,58000,19333,1,1,1,5,17,0,1,0,915.5485398579322,0.0,915.5485398579322,915.5485398579322,305.1775848460931,0,1,1,0,1,0,2
1176,1,2,6,0,39,0,0,No corresponde,No corresponde,0,1,1,0,1,0,1,0,1,58000,19333,1,1,1,5,17,2,1,1,0.0,0.0,0.0,915.5485398579322,305.1775848460931,1,0,0,1,1,0,4
1176,1,3,6,0,3,1,2,1,2,1,1,0,0,0,0,0,0,1,58000,19333,0,3,7,6,0,0,1,0,0.0,0.0,0.0,915.5485398579322,305.1775848460931,1,0,1,0,1,0,4
1177,1,1,5,0,35,2,5,No corresponde,No corresponde,2,0,3,35000,1,0,3,35000,2,65000,32500,1,1,1,1,13,1,3,0,552.4861878453039,0.0,552.4861878453039,1026.0457774269928,513.0228887134964,1,0,1,0,1,0,2
1177,1,2,5,0,23,0,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,30000,1,0,3,30000,2,65000,32500,1,1,1,3,12,0,1,0,473.559589581689,0.0,473.559589581689,1026.0457774269928,513.0228887134964,0,1,1,0,1,0,2
1178,1,1,2,0,35,2,3,No corresponde,No corresponde,2,0,3,19600,3,15000,3,34600,2,34600,11533,1,1,1,1,14,4,4,2,309.3922651933702,236.7797947908445,546.1720599842147,546.1720599842147,182.052091554854,1,0,0,1,0,1,2
1178,1,2,2,0,8,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,34600,11533,0,0,5,4,1,4,4,0,0.0,0.0,0.0,546.1720599842147,182.052091554854,0,1,1,0,0,1,4
1178,1,3,2,0,5,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,34600,11533,0,0,9,6,0,5,4,0,0.0,0.0,0.0,546.1720599842147,182.052091554854,1,0,1,0,0,1,4
1179,1,1,2,0,35,2,4,No corresponde,No corresponde,1,1,1,0,3,30000,3,30000,2,30000,30000,1,1,1,5,17,2,1,0,0.0,473.559589581689,473.559589581689,473.559589581689,473.559589581689,0,1,1,0,1,0,2
1180,1,1,2,0,35,2,0,No corresponde,No corresponde,2,4,3,30000,1,0,3,30000,2,64000,21333,1,1,1,5,17,0,3,0,473.559589581689,0.0,473.559589581689,1010.26045777427,336.74822415153903,0,1,1,0,1,0,2
1180,1,2,2,0,34,0,0,No corresponde,No corresponde,2,0,3,34000,1,0,3,34000,2,64000,21333,1,1,1,1,13,2,0,1,536.7008681925809,0.0,536.7008681925809,1010.26045777427,336.74822415153903,1,0,0,1,1,0,2
1180,1,3,2,0,2,1,2,1,2,1,1,0,0,0,0,0,0,2,64000,21333,0,2,0,6,0,0,2,0,0.0,0.0,0.0,1010.26045777427,336.74822415153903,0,1,1,0,1,0,4
1181,1,1,11,0,35,2,0,No corresponde,No corresponde,2,0,3,25000,1,0,3,25000,2,25000,8333,1,1,1,5,17,0,1,0,394.6329913180742,0.0,394.6329913180742,394.6329913180742,131.53906866614048,0,1,1,0,1,0,1
1181,1,2,11,0,34,0,0,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,25000,8333,1,1,1,3,12,0,1,1,0.0,0.0,0.0,394.6329913180742,131.53906866614048,1,0,0,1,1,0,4
1181,1,3,11,0,1,1,2,1,2,1,1,0,0,0,0,0,0,2,25000,8333,2,1,1,6,0,0,1,0,0.0,0.0,0.0,394.6329913180742,131.53906866614048,1,0,1,0,1,0,4
1182,1,1,5,0,35,2,4,No corresponde,No corresponde,2,4,3,120000,1,0,3,120000,2,120000,120000,1,1,1,5,17,2,2,0,1894.238358326756,0.0,1894.238358326756,1894.238358326756,1894.238358326756,0,1,1,0,1,0,0
1183,1,1,11,0,35,2,0,No corresponde,No corresponde,2,0,3,130000,1,0,3,130000,2,155000,38750,1,1,1,5,17,0,1,0,2052.0915548539856,0.0,2052.0915548539856,2446.72454617206,611.681136543015,0,1,1,0,1,0,0
1183,1,2,11,0,35,0,0,No corresponde,No corresponde,2,0,3,25000,1,0,3,25000,2,155000,38750,1,1,1,5,17,0,1,2,394.6329913180742,0.0,394.6329913180742,2446.72454617206,611.681136543015,1,0,0,1,1,0,1
1183,1,3,11,0,4,1,2,1,2,1,1,0,0,0,0,0,0,2,155000,38750,0,3,7,6,0,0,1,0,0.0,0.0,0.0,2446.72454617206,611.681136543015,1,0,1,0,1,0,4
1183,1,4,11,0,0,1,2,1,2,1,1,0,0,0,0,0,0,2,155000,38750,2,1,1,6,0,0,1,0,0.0,0.0,0.0,2446.72454617206,611.681136543015,1,0,1,0,1,0,4
1184,1,1,15,0,35,2,4,No corresponde,No corresponde,2,0,3,67000,1,0,3,67000,2,67000,67000,1,1,1,5,17,6,1,0,1057.616416732439,0.0,1057.616416732439,1057.616416732439,1057.616416732439,0,1,1,0,1,0,2
1185,1,1,13,0,35,2,5,No corresponde,No corresponde,2,0,3,45000,1,0,3,45000,2,90000,45000,1,1,1,5,17,6,3,0,710.3393843725336,0.0,710.3393843725336,1420.6787687450671,710.3393843725336,1,0,1,0,1,0,2
1185,1,2,13,0,37,0,5,No corresponde,No corresponde,2,0,3,45000,1,0,3,45000,2,90000,45000,1,1,1,5,17,0,1,0,710.3393843725336,0.0,710.3393843725336,1420.6787687450671,710.3393843725336,0,1,1,0,1,0,2
1186,1,1,11,0,35,2,0,No corresponde,No corresponde,2,0,3,75000,1,0,3,75000,2,75000,37500,1,1,1,5,17,0,1,0,1183.8989739542226,0.0,1183.8989739542226,1183.8989739542226,591.9494869771113,0,1,1,0,1,0,2
1186,1,2,11,0,32,0,0,No corresponde,No corresponde,1,1,1,0,1,0,1,0,2,75000,37500,1,1,1,1,13,6,1,0,0.0,0.0,0.0,1183.8989739542226,591.9494869771113,1,0,1,0,1,0,4
1187,1,1,10,0,35,2,0,No corresponde,No corresponde,2,0,3,55000,1,0,3,55000,2,70000,35000,1,1,1,5,17,0,1,0,868.1925808997632,0.0,868.1925808997632,1104.9723756906078,552.4861878453039,1,0,1,0,1,0,2
1187,1,2,10,0,36,0,0,No corresponde,No corresponde,2,4,3,15000,1,0,3,15000,2,70000,35000,1,1,1,3,12,0,1,0,236.7797947908445,0.0,236.7797947908445,1104.9723756906078,552.4861878453039,0,1,1,0,1,0,1
1188,1,1,13,0,35,2,0,No corresponde,No corresponde,2,0,3,80000,1,0,3,80000,2,130000,43333,1,1,1,5,18,0,1,0,1262.8255722178374,0.0,1262.8255722178374,2052.0915548539856,684.0252565114444,0,1,1,0,1,0,2
1188,1,2,13,0,32,0,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,130000,43333,1,1,1,5,19,1,1,1,789.2659826361484,0.0,789.2659826361484,2052.0915548539856,684.0252565114444,1,0,0,1,1,0,2
1188,1,3,13,0,2,1,2,1,2,1,1,0,0,0,0,0,0,2,130000,43333,0,2,0,6,0,0,1,0,0.0,0.0,0.0,2052.0915548539856,684.0252565114444,0,1,1,0,1,0,4
1189,1,1,10,0,35,2,3,No corresponde,No corresponde,2,0,3,60000,3,10000,3,70000,2,70000,35000,1,1,1,5,19,0,3,1,947.119179163378,157.85319652722967,1104.9723756906078,1104.9723756906078,552.4861878453039,1,0,0,1,1,0,2
1189,1,2,10,0,2,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,70000,35000,0,0,0,6,0,0,3,0,0.0,0.0,0.0,1104.9723756906078,552.4861878453039,0,1,1,0,1,0,4
1190,1,1,15,0,35,2,5,No corresponde,No corresponde,2,0,3,51000,1,0,3,51000,2,101000,50500,1,1,1,5,19,0,1,0,805.0513022888713,0.0,805.0513022888713,1594.3172849250195,797.1586424625099,1,0,1,0,1,0,2
1190,1,2,15,0,37,0,5,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,101000,50500,1,1,1,5,19,5,1,0,789.2659826361484,0.0,789.2659826361484,1594.3172849250195,797.1586424625099,0,1,1,0,1,0,2
1191,1,1,12,0,36,2,3,No corresponde,No corresponde,2,0,3,30500,3,7000,3,37500,2,37500,18750,0,0,12,1,12,0,2,1,481.4522494080505,110.49723756906076,591.9494869771113,591.9494869771113,295.97474348855565,1,0,0,1,1,0,2
1191,1,2,12,0,9,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,37500,18750,0,0,5,4,3,4,2,0,0.0,0.0,0.0,591.9494869771113,295.97474348855565,0,1,1,0,1,0,4
1192,1,1,9,0,36,2,5,No corresponde,No corresponde,2,0,2,84000,1,0,2,84000,1,118000,39333,0,0,12,1,14,0,1,0,1325.966850828729,0.0,1325.966850828729,1862.6677190213104,620.8839779005525,0,1,1,0,1,0,2
1192,1,2,9,0,35,0,5,No corresponde,No corresponde,2,0,2,34000,1,0,2,34000,1,118000,39333,1,1,1,1,14,6,1,1,536.7008681925809,0.0,536.7008681925809,1862.6677190213104,620.8839779005525,1,0,0,1,1,0,2
1192,1,3,9,0,0,1,2,1,2,1,1,0,0,0,0,0,0,1,118000,39333,2,1,1,6,0,0,1,0,0.0,0.0,0.0,1862.6677190213104,620.8839779005525,1,0,1,0,1,0,4
